Age,1990_M,1990_F,1990_Total,1991_M,1991_F,1991_Total,1992_M,1992_F,1992_Total,1993_M,1993_F,1993_Total,1994_M,1994_F,1994_Total,1995_M,1995_F,1995_Total,1996_M,1996_F,1996_Total,1997_M,1997_F,1997_Total,1998_M,1998_F,1998_Total,1999_M,1999_F,1999_Total,2000_M,2000_F,2000_Total,2001_M,2001_F,2001_Total,2002_M,2002_F,2002_Total,2003_M,2003_F,2003_Total,2004_M,2004_F,2004_Total,2005_M,2005_F,2005_Total,2006_M,2006_F,2006_Total,2007_M,2007_F,2007_Total,2008_M,2008_F,2008_Total,2009_M,2009_F,2009_Total,2010_M,2010_F,2010_Total,2011_M,2011_F,2011_Total,2012_M,2012_F,2012_Total,2013_M,2013_F,2013_Total,2014_M,2014_F,2014_Total,2015_M,2015_F,2015_Total,2016_M,2016_F,2016_Total,2017_M,2017_F,2017_Total
20,13191336,12844729,26036065,11998128.66,11960006.65,23958135.31,11850074.36,11747013.43,23597087.8,11173880.18,10863162.65,22037042.83,11076559.96,10790027.82,21866587.78,8984099.812,9071881.358,18055981.17,8971553.252,8755299.536,17726852.79,7846325.351,8043161.364,15889486.72,8083884.027,7794269.743,15879166.41,8276639.344,7957991.803,16234631.15,9315481,9078328,18393809,8068836.91,7921499.338,15991388.66,9421928.518,8935383.784,18357312.3,7980791.179,7687918.109,15668709.29,8028607.167,7753125.975,15782776.63,7545711.326,7696616.266,15242327.59,9299257.512,9074364.818,18373622.33,10634312.81,10372895.73,21007208.55,10106921.95,9681081.22,19788003.17,11202749.14,10785796.11,21988545.25,14201091,13825863,28026954,11361219.1,11198054.54,22559273.63,11216922.36,9933225.39,21148937.86,10686389.94,9627290.182,20313680.12,9561440.677,9459970.331,19021411.01,11350005.51,10957489.52,22307495.03,8921334.244,8447178.293,17368512.54,9118932.039,8256067.961,17375000
21,13820659,13335020,27155679,12417470.73,12725537.75,25143008.47,11803696.95,11622052.06,23425749,11286951.94,11402781.55,22689733.49,10947781.47,10814173.78,21761955.25,9655871.102,9987105.414,19643075.48,8871362.311,9062816.289,17934178.6,8649737.649,8788326.27,17437059.65,7802370.842,7937051.61,15739422.45,7518442.623,7693647.541,15212090.16,9548059,9376763,18924822,7618404.903,7959386.142,15578843.46,7716969.016,7740577.727,15458573.21,8919222.498,8632536.886,17551759.38,7669646.826,7802169.975,15472860.29,7094853.797,7749781.237,14844635.03,7860165.839,7800342.166,15661615.85,8893766.605,9463521.782,18357288.39,10062752.3,10337963.19,20400715.49,10329896.91,9877434.135,20207331.04,13357755,13198894,26556649,14292269.38,13516646.55,27808915.93,11406875.64,10919288.57,22326164.2,11045945.75,9886561.716,20932507.46,10493011.81,9880522.126,20373533.93,10258097.38,9522048.787,19780146.17,9726799.163,8999359.907,18726159.07,8922330.097,8064320.388,16987864.08
22,12586327,11965751,24552078,12556564.53,12470017.28,25026581.81,12976015,13020460.03,25996475.03,12120741.27,12056391.49,24177132.76,11641575.59,11739769.19,23381344.78,10585148.12,10943597.68,21528745.81,10309747.12,10544848.64,20854595.76,9281420.568,9292467.487,18573888.05,9027662.045,9481323.581,18508985.63,7675204.918,7983606.557,15658811.48,9519345,9312246,18831591,8682392.658,8762375.911,17444768.57,7851436.021,8133714.084,15984123.64,7930260.262,8143727.606,16073987.87,8960443.169,9389317.298,18349760.47,7365863.592,8033018.201,15398881.79,7569910.243,8257882.475,15827792.72,7776599.59,8227935.064,16004534.65,8958511.049,9419460.985,18379104.59,10508591.07,11042382.59,21550973.65,12281148,12193044,24474192,13580493.55,12842705.99,26423199.54,14048073.08,13875058.32,27923131.4,11667219.05,10445463.09,22112682.14,11137287.38,9687361.709,20825871.62,10331799.56,9269346.34,19601145.9,9731600.742,8495194.086,18226794.83,9507281.553,8519417.476,18026699.03
23,11691041,11132124,22823165,13795014.57,13837257.87,27632272.44,12329951.81,12212720,24542671.81,13223880.41,13421526.17,26645406.58,12805411.2,12866580.98,25671992.19,11286509.81,11459499.83,22746009.64,11242217.27,11398951.62,22642160.88,10722541.38,10888245.16,21610786.54,9623092.811,9918782.919,19541875.73,8974385.246,9379098.361,18353483.61,9119685,8811470,17931155,8552946.076,8609776.283,17163774.77,8595623.642,8822472.559,17419122.67,7821979.725,8200445.982,16022425.71,8336436.53,8583743.509,16920180.04,8728032.184,9522566.04,18250598.22,7662969.289,8347617.984,16010587.27,7777716.757,8386572.78,16163172.37,8025285.625,8418282.254,16443567.88,9744558.992,9605956.472,19351660.94,12876542,12819413,25695955,12460806.33,12233794.77,24694601.11,13405619.65,12994255.87,26399875.52,14662294.46,13631323.22,28293617.68,11381794.23,10490566.74,21872360.97,10098885.1,9173844.928,19272665.15,10206957.09,9388287.826,19594044.52,9099514.563,8248786.408,17348300.97
24,12943660,12250527,25194187,11034775.26,11189323.94,22224099.2,13624010.59,13544782.5,27168793.09,12842378.12,12664956.58,25507334.7,13679495.21,13372036.56,27051531.77,12464385.75,12503971.57,24968357.32,11640997.06,12107232.14,23748229.2,11417493.01,11838280.2,23255773.22,10751170.83,11245337.86,21997521.32,9628073.77,9881147.541,19509221.31,10435196,10056601,20491797,8516111.683,8626614.863,17143778.96,8714693.662,9076009.583,17790703.24,8625318.184,9171877.084,17797195.27,7871040.273,8669309.637,16540349.91,7953541.599,8539207.541,16492671.75,8897109.493,9603915.103,18499916.75,7950877.644,8327362.928,16277123.41,8150999.244,8445463.577,16596462.82,8615120.275,8671248.568,17286368.84,11292037,11366731,22658768,13621875.87,13256529.14,26878405.01,12876896.2,12420766.36,25297662.57,14263603.33,13210618.46,27474221.79,14752321.27,14143499.19,28895820.46,10457404.67,9456910.596,19914315.27,11070040.96,9968078.52,21038119.48,10070388.35,9009708.738,19080097.09
25,12593865,11926749,24520614,12421592.02,12311347.3,24732939.33,11046199.12,10864554.24,21910753.36,13950113.67,13886683.17,27836796.85,12943848.08,12971213.51,25915061.59,12839560.32,13136552.9,25976113.22,12459388.42,12602234.91,25061623.33,12138555.55,12155628.06,24294183.61,11487358.19,11873173.02,23360531.21,10852459.02,11112704.92,21965163.93,10766946,10369689,21136635,9869512.527,9992644.641,19862157.17,8550459.152,8604861.833,17155320.99,8936753.632,9189408.218,18126161.85,8658874.743,9173315,17831146.25,7783367.259,8536112.055,16319479.31,7738302.802,8537059.613,16275362.41,8964148.127,9547309.308,18511457.44,8203096.78,8565514.42,16768611.2,8618556.701,8504009.164,17122565.86,9969984,9963699,19933683,11215789.82,11469995.47,22685785.28,12847858.76,12628868.04,25476726.8,12168640.41,12091592.74,24260233.15,13082339.43,12611663.73,25694003.16,14085031.02,13752722.44,27837753.46,10707521.72,10210558.27,20916879.6,10224514.56,9644417.476,19868932.04
26,12959015,12328474,25287489,12120737.27,11860065.18,23980802.45,11924793.54,11710942.11,23635735.65,11286032.66,11081951.92,22367984.57,13533009.68,13785737.46,27318747.14,12541380.17,12685373.57,25226753.73,13179572.81,13566448.73,26746021.54,12432805.3,12743123.3,25175928.61,12044308.73,12092915.33,24137224.06,11269467.21,11328893.44,22599385.25,11674361,11200062,22874423,9984225.351,10434657.36,20418882.71,9603612.944,9652883.297,19256496.24,8359257.436,8334507.599,16694796.28,8933312.446,9252620.191,18186976.13,8415852.426,8891551.229,17307403.66,7731655.728,8186980.345,15918636.07,7937471.64,8650224.196,16587695.84,9356037.898,9712792.763,19068830.66,8207331.042,8457044.674,16664375.72,9879292,9829885,19709177,10091373.19,10057084.99,20148458.18,11426233.93,11444382.33,22870616.27,12908542.67,12899981.81,25808524.48,12321923.1,12238790.77,24560713.87,13327183.19,13056574.23,26383692.55,13931782.19,13427616.37,27359398.56,10989077.67,10384708.74,21372572.82
27,13966581,13060283,27026864,12187708.37,11680788.72,23868497.08,11698703.62,11579539.43,23278243.05,12197041.73,11890001.33,24087043.06,11126461.62,11084608.61,22211070.24,13153772.73,13222157.23,26375831,12602234.91,12873048.05,25475282.96,13400917.12,13551556.93,26952474.05,12417971.92,12485818.62,24903790.54,11518442.62,11872950.82,23391393.44,12123051,11507384,23630435,11282900.81,11262905,22545805.81,9916684.978,10013172.75,19929857.73,9956653.164,9910247.22,19866900.38,8286349.04,8603569.807,16889918.85,8357889.452,8824533.959,17182423.41,8274500.162,8763060.153,17037560.31,8086054.853,8361995.106,16448049.96,8194036.339,8442065.911,16636102.25,9714776.632,9502863.688,19218785.8,9801611,9679225,19480836,10111473.17,9851355.761,19962828.93,10181253.55,9993720.063,20174973.61,11579164.56,11663550.11,23242714.67,13321956.15,13145911.21,26469089.9,12621627.58,12364188.99,24985751.69,13604074.41,13146723.98,26750798.39,13990291.26,13549757.28,27540048.54
28,8144945,7783117,15928062,14050535.04,13581737.4,27632272.44,11893231.13,11660699.91,23553931.03,12069261.44,11675808.49,23745069.93,12769997.12,12382051.91,25152049.03,10972000.51,11029399.94,22001400.44,13603152.34,13523793.18,27126945.52,12945984.91,12967074.48,25913059.39,13322257.08,13603770.26,26926027.34,12554303.28,12464139.34,25018442.62,12734628,12065763,24800391,11843836,11885932.45,23729768.44,11179237.77,11262381.49,22442645.73,9981403.001,10224776.4,20206179.4,9886018.235,9893322.661,19779340.9,8109244.543,8461743.005,16570910.16,8227970.639,8767491.536,16995462.17,8403330.285,8834556.753,17237887.04,8203096.78,8627804.952,16830901.73,8436426.117,8428407.789,16864833.91,11271599,11050548,22322147,10234437.77,9750855.853,19984111.27,10235698.76,9947744.111,20183442.87,10235110.71,10350070.73,20585181.45,11769337.6,11607963.08,23377300.68,13449544.38,13119830.94,26569310.44,12851426.86,12542925.39,25394352.25,13848300.97,13241504.85,27088592.23
29,5848577,5655919,11504496,11265567.95,10885378.21,22150946.16,13648487.56,13292927.36,26941414.92,12099597.77,11837602.23,23937200,12398149.22,11960302.35,24358451.58,12462703.36,12434795.36,24897498.71,10973388.11,11026955.55,22000343.66,13558586.79,13455147.45,27014738.51,12675181.81,12733914.77,25409096.58,12992827.87,13150614.75,26143442.62,12931772,12228609,25160381,12281639.07,12140615.96,24422255.03,11647306.12,11482045.15,23130377.74,10851772.27,11079677.02,21931449.28,9658537.554,9991410.661,19649948.21,9063660.248,9478377.978,18541960.84,7763783.255,8110538.986,15874322.24,8216763.394,8745183.392,16961946.79,8512284.329,8730867.469,17243151.8,8182130.584,8410080.183,16592210.77,9914552,9653457,19568009,11525566.01,11228795.69,22754361.69,10063893.88,10042115.8,20106009.69,10213097.09,9793615.317,20006712.41,10387873.86,10352420.36,20740294.22,11858913.85,11619252.02,23478101,13995403.12,13619679.54,27615082.65,13388349.51,12950242.72,26338592.23
30,7519677,6923442,14443119,6195341.145,5942911.645,12138252.79,11839124.14,11421727.38,23260851.52,14245203.39,13848073.3,28093276.7,12245224.77,12327321.05,24572545.82,12406887.36,12358394.73,24765183.12,12928599.46,12907767.68,25835375.16,11476744.67,11496829.98,22972570.38,13679718.07,13561239.5,27240957.56,12845286.89,12991803.28,25837090.16,14396367,13615977,28012344,13300373.14,12992016.65,26291337.38,12606025.07,12613210.33,25220261.87,11939733.85,11853109.42,23792843.27,11226902.07,11385512.45,22612414.52,9604286.869,9891238.417,19495525.29,9170747.401,9542983.585,18713730.99,8145264.705,8306136.755,16451401.46,8594960.853,9087622.333,17681450.63,8709049.255,8785796.105,17495990.84,9604727,9323642,18928369,10083096.73,9629073.61,19712170.34,11310084.16,11129810.03,22439894.19,9698222.96,9514776.12,19212999.08,9935536.169,9719147.6,19655906.3,10315255.49,10178945.39,20494200.88,11472173.22,11621022.18,23093195.4,13173543.69,12958737.86,26132281.55
31,7535588,6843038,14378626,6689896.899,6519893.359,13209790.26,6242915.732,6177214.39,12420130.12,11718095.49,11385315.18,23103410.67,14073879.34,13642471.39,27716350.73,11950166.01,11975995.75,23926161.76,12292734.18,12092352.29,24384094.48,12626628.52,12538253.17,25164881.69,11047873.57,11036734.56,22084608.14,13364754.1,13056352.46,26421106.56,12817157,12201229,25018386,13737123.8,13590838.64,27327962.44,12522881.35,12159512.5,24682393.85,11989233.53,12022233.31,24011466.83,11592123.35,11225858.58,22816938.43,10493774.76,11004839.49,21498614.24,9028943.141,9534120.818,18563063.96,9020006.477,9290360.895,18310367.37,8245001.319,8146469.023,16391470.34,8381443.299,8870561.283,17252004.58,10141582,9724876,19866458,9584144.239,9358315.032,18941276.92,10121968.77,9843693.273,19965662.04,11383487.93,10973789.99,22357277.92,9930646.032,9700809.586,19631455.62,9969127.751,9855006.158,19824133.91,10020895.89,10082116.03,20103011.92,11356796.12,11434466.02,22792475.73
32,10007244,9053122,19060366,6664138.787,6293221.971,12957360.76,7461611.209,7243894.998,14705506.21,6470830.323,6395449.148,12866279.47,9988381.71,9679313.331,19667695.04,14233475.85,13989528.26,28223004.12,12351261.56,12225278.89,24576540.45,12754170.22,12245007.68,24999177.9,12938467.52,12718725.21,25657192.73,10896516.39,10694672.13,21591188.52,14262160,13456356,27718516,13160402.45,12999383.53,26159785.98,13829572.17,13726925.6,27556497.77,12925602.36,12892602.57,25818204.93,12300652.62,12277695.86,24578348.48,11110163.4,11498105.17,22608268.57,10145651.69,10698466.74,20844118.43,9481396.455,9685838.018,19167234.47,9274493.929,9527053.722,18800415.1,8207331.042,8451317.297,16658648.34,9909833,9565041,19474874,10183596.64,9696467.667,19880064.3,9703345.63,9271413.662,18975969.19,10219211.99,9679878.276,19899090.26,11650751.78,11093276.14,22745250.45,9880633.235,9713765.278,19594398.51,9930866.281,9707592.846,19638459.13,10014563.11,10042475.73,20057038.83
33,9528741,8821542,18350283,8550662.924,7948953.423,16499616.35,7035196.618,6688010.116,13723206.73,7561099.503,7367130.872,14928230.38,5616351.94,5661424.412,11277776.35,9777201.627,9690607.656,19467809.28,14321352.75,13900749.2,28222101.95,12402677.34,12337400.09,24739073.17,12400757.08,12141521.92,24543291.64,12432377.05,11922131.15,24354508.2,11133712,10602870,21736582,13979178.38,13832893.22,27812071.61,12632713.18,12600892.74,25233605.92,13927970.75,13949626.86,27877597.62,12685700.2,12592829.65,25277486.36,11628192.97,11971869.3,23600062.27,10808143.47,11399733.12,22207876.59,10285756.71,10611969.47,20897726.18,9474956.187,9579151.258,19054107.44,9316151.203,9577319.588,18893470.79,9289224,8890254,18179478,10176502.52,9778049.945,19954552.47,10217550.36,9729963.287,19947513.64,9661533.592,9623621.245,19285154.84,9979547.404,9640905.406,19621675.34,11468733.49,11114236.4,22582969.89,9948872.203,9571948.232,19519620.04,9845873.786,9661407.767,19507281.55
34,9114883,8528430,17643313,9976632.015,9225525.463,19202157.48,8818794.809,8399465.657,17218260.47,7214529.958,6954372.978,14168902.94,7366129.686,6973355.289,14339484.98,5737073.288,5839798.48,11576772.8,9985366.546,9843512.044,19828878.59,14457404.29,13988412.37,28445816.66,12426073.02,12423035.11,24849108.12,12209016.39,11906762.3,24115778.69,12751060,12077410,24828470,11457601.07,11326049.67,22784703.16,14139564.8,14044103.5,28183668.3,13020476.73,12834852.95,25855329.69,13771972.63,14026584.03,27797513.17,12187469.89,12504757.2,24692227.1,11605792.43,11535998.15,23142898.43,10684585.33,11407392.39,22091977.72,10424037.38,10548618.45,20972655.83,9868270.332,10020618.56,19888888.89,10576456,10112568,20689024,9522661.942,9117115.251,18639777.19,10114709.41,9686407.122,19801116.53,10385537.12,9972170.242,20357707.36,9576111.088,9684916.64,19262250.26,9885693.772,9675876.131,19561569.9,11528591.78,11239296.63,22767888.4,9867718.447,9603155.34,19470873.79
35,10051375,9325690,19377065,9329588.237,8800001.45,18129589.69,9958906.328,9479673.012,19438579.34,9099978.6,8662400.075,17762378.68,6999110.987,6562873.849,13561984.84,7559406.309,7354648.678,14914054.99,5900353.687,5903329.656,11803683.34,10332886.41,9817698.276,20149580.42,14572864.22,13976420.81,28549285.03,12241803.28,12336065.57,24577868.85,12794614,12004515,24799129,13228809.18,12622620.31,25851429.48,11262381.49,11400954.36,22663335.85,14289937.12,14349749.23,28639686.35,12803614.5,13011268.88,25814883.38,13396257.16,13795420.07,27191677.23,12205137,12509794.59,24714931.6,11762651.5,11838618.86,23601270.35,11239477.07,11583773.83,22824383.46,10597938.14,10894616.27,21492554.41,10817432,10369084,21186516,10605696.25,10248625.99,20854322.24,9351266.631,9077830.706,18429097.34,9893899.59,9534343.783,19428243.37,10118916.31,9625012.46,19742706.24,9635391.836,9241188.995,18876580.83,9999288.785,9573148.627,19572437.41,11453883.5,10991504.85,22445388.35
36,9452337,8878360,18330697,9533592.485,8959701.746,18493294.23,9229750.261,8943756.185,18173506.45,10308835.24,9534799.277,19843634.51,9177077.216,8586305.889,17763383.11,7086157.884,6765710.706,13851967.55,7623439.49,7554992.213,15178431.7,5827751.953,5887003.61,11715759.83,10103082.92,9744609.294,19848704.85,14256147.54,14090163.93,28346311.48,12375386,11769462,24144848,13098310.18,12662611.93,25760922.12,13129522.57,12662480.68,25792003.26,11282831.93,11285925.66,22567726.34,14355283.18,14209194.67,28564477.85,12370180.95,12798441.43,25168622.39,13224355.13,13768307.41,26992662.53,12263142.32,12422897.2,24687156.69,11861249.84,11958649.58,23819899.42,11468499.43,11720504.01,23190148.91,11690644,11216336,22906980,10823249,10313655.34,21136904.34,10483726.92,10030016.87,20513743.79,9435282.489,9061050.935,18497556.4,9821840.481,9610342.048,19432182.53,10259654.47,9808488.146,20068142.61,9516730.071,9097792.281,18614522.35,9850728.155,9506067.961,19356796.12
37,8870602,8355542,17226144,9578926.763,9272920.39,18851847.15,9442313.425,9012678.18,18454991.61,9332557.101,9154216.274,18486773.38,9845115.639,9436243.93,19281359.57,9227453.613,8699081.94,17926535.55,7179028.183,6729656.929,13907693.12,7812180.328,7609318.723,15422503.32,5999876.345,6052533.487,12051397.19,9926229.508,9676229.508,19603483.61,14366461,13499728,27866189,12839417.02,12783639.23,25623056.25,12684036.46,12468478.67,25152515.13,12803915.66,12607979.45,25411895.11,11079770.07,11292641.9,22373455.46,13665100.11,14089491.24,27754591.35,12307058.82,12776785.43,25083844.24,13438402.02,13924369.67,27363888.86,12331260.22,12059446.98,24390707.2,11857961.05,12243986.25,24101947.31,12283353,11706855,23990208,11890912.73,11300919.15,23191831.88,10824916.88,10310712.15,21135629.03,10763437.61,9893899.59,20657337.2,9406178.822,8924500.312,18330679.13,9973409.743,9631304.479,19604714.22,10252572.09,9909259.175,20161831.27,9567961.165,9098300.971,18667475.73
38,8704522,8182775,16887297,8970004.99,8660907.644,17630912.63,9758581.649,9317996.18,19076577.83,9658902.429,9376682.667,19035585.1,8934007.815,8666792.446,17600800.26,10342289.14,9829256.975,20171645.08,9411996.601,9104479.849,18516476.45,7061994.096,6877209.267,13939203.36,8079833.478,7717309.304,15797142.78,6061475.41,5886270.492,11948770.49,10799386,10123726,20923112,14809530.85,14239123.96,29047602.39,13097702.13,12757941.99,25856670.59,12935914.79,12480105.29,25416020.08,12986225.14,12818223.35,25803404.99,11032311.93,11388060.65,22420372.57,13450355.67,13975474.57,27425830.23,12583769.25,12926739.53,25510508.78,13346029.61,14007441.8,27353471.41,12665521.19,12539518.9,25206185.57,12662559,12067901,24730460,12512829.82,12019789.09,24532618.9,11901722.07,11308874.27,23210596.33,10800126.98,10354962.65,21155089.63,10816983.39,10242392.28,21059375.67,9394172.915,9003278.886,18397451.8,10082116.03,9862443.777,19944559.8,10154126.21,9984223.301,20138349.51
39,7490011,7040598,14530609,9127644.637,8610421.744,17738066.38,8637149.923,8568872.058,17206021.98,9512736.494,9405180.428,18917916.92,9698630.105,9264002.698,18962632.8,9244970.337,8935706.152,18180577.52,10123253.09,9481435.868,19604688.96,9403940.943,8844565.131,18248506.07,7066183.483,6867706.56,13932877.41,7658811.475,7594262.295,15253073.77,5805544,5608473,11414017,10209441.35,9930552.378,20139993.73,14561442.2,14573759.79,29135201.99,12551261.07,12515167.56,25066428.63,12940311.6,12409175.52,25349487.12,12462271.66,12806412.31,25268606.58,10889016.21,11134957.98,22023974.19,13764614.79,13984696.69,27749311.48,12410539.07,12985877.08,25396416.15,13636884.31,13838487.97,27475372.28,12937116,12274679,25211795,12777676.63,12070630.22,24848306.85,12517557.84,11940438.66,24456786.61,11765057.36,11636644.57,23400478.96,10890335.45,10538245.57,21428581.02,10632577.1,10231107.85,20863749.83,9355877.166,8963348.063,18320425.62,9876213.592,9702669.903,19578883.5
40,8042718,7299389,15342107,7623370.885,7465731.238,15089102.12,9114450.847,8859375.049,17973825.9,9139507.752,8794776.772,17934284.52,9856383.757,9494194.251,19350578.01,10249064.55,9822527.386,20071591.94,9653050.055,9154079.325,18807129.38,10530726.69,9892013.914,20422740.6,9699040.613,9258543.362,18957583.97,7143442.623,7000000,14143442.62,7608987,7075739,14684726,6337620.435,6284999.873,12621567.9,11576479.99,10963679.98,22540159.97,15466585.62,14856089.64,30321644.02,12953876.97,12841180.11,25794013.59,12877376.33,12997713.34,25875089.67,12823314.95,13100276.4,25923591.35,11429735.73,11399572.22,22829307.95,14028960.35,14016502.24,28045462.59,12973654.07,13061855.67,26035509.74,13993123,13404096,27397219,12951482.36,12048165.53,24999647.89,12795833.34,12217504.26,25012127.71,12358202.15,11679448.84,24037650.98,11684982.74,11241202.79,22927408.06,10916940.34,10409134.94,21326075.28,10582680.66,9989685.627,20572366.29,9383495.146,8824029.126,18207524.27
41,6805059,6205339,13010398,7165906.812,6957781.266,14123688.08,7355329.627,7165955.171,14521284.8,8786503.228,8489574.944,17276078.17,8785912.55,8529965.299,17315877.85,9764930.024,9488324.138,19253254.16,9852439.95,9600474.61,19452914.56,9346697.817,8958047.118,18304744.93,10529403.25,9746634.569,20276037.81,9307377.049,8795081.967,18102459.02,6819876,6239911,13059787,7965700.609,7638400.716,15604101.33,6105417.892,6170085.23,12275503.12,11041521.02,10764116.6,21806668.86,14581720.37,14557720.12,29140483.98,12245587.64,12532229.64,24777817.29,12559647.65,12856550.33,25415090.13,12687665.79,13022815.89,25710481.68,11429746.33,11539604.18,22968217.96,13854524.63,13902634.59,27757159.22,12723691,12232606,24956297,13754299.28,13432699.57,27186998.84,12945860.13,12262270.32,25206920.56,12634595.38,12288492.35,24924310.71,12381827.28,11786453.08,24169502.9,11692500.05,11169383.28,22861948.2,11100050.83,10412224.6,21512275.43,10419902.91,10013349.51,20434466.02
42,6496011,5896378,12392389,7659432.242,7106147.992,14765580.23,7314105.256,7003634.209,14317739.46,7622691.439,7433319.22,15056010.66,8816497.442,8542843.148,17359340.59,9110378.564,8881176.691,17991555.26,9741337.123,9630234.296,19372563.41,10081820.07,9645968.898,19727788.97,9420565.339,9149178.528,18569743.87,10488729.51,9846311.475,20334016.39,8985776,8150205,17135981,7604723.557,6859616.405,14464339.96,8096761.32,7627666.502,15724427.82,6530863.23,6180240.54,12711103.77,11066204.71,10944116.45,22009277.67,14668966.21,14671906.92,29340873.12,12592883.03,12710314.68,25303197.71,13035104.73,13180336.44,26215441.17,12860163.46,13197664.89,26057828.35,11458190.15,11650630.01,23108820.16,13782610,13249932,27032542,12707917.87,12473812.2,25180547.73,13950071.71,13474583.58,27424655.29,12966022.68,12079362.95,25045385.62,12611663.73,12271799.2,24882240.39,12282117.46,11718711.03,24000828.5,11504583.88,11203284.78,22707868.66,10513349.51,10319174.76,20832524.27
43,6264508,5686196,11950704,6536378.55,6043883.445,12580262,7399774.652,6910235.243,14310009.9,7248543.415,7066525.457,14315068.87,7655881.291,7161693.832,14817575.12,9089497.046,8872764.706,17962261.75,8868386.342,8659076.552,17528454.88,9810668.419,9645968.898,19456637.32,9986629.622,9587650.503,19574280.13,9217213.115,8907786.885,18123975.41,9889275,9109149,18998424,9630615.177,9188602.46,18818165.23,7260191.787,6979966.655,14240158.44,7797229.889,7439388.496,15237649.63,6264066.653,6191022.397,12455089.05,10915921.65,11050110.97,21966032.62,14708868.48,14799711.83,29508580.31,12627338.77,12782624.98,25409963.75,13189737,13114988.36,26304725.36,12857961.05,13142038.95,26000000,10856214,10499534,21355748,14165757.73,13414964.29,27580722.02,12812771.85,12313085.85,25125857.69,14085048.4,13518809.16,27603857.56,12942970.52,12171551.38,25114521.91,12621043.67,12178441.34,24799485.01,12251229.45,11832291.66,24083521.12,11608009.71,11135922.33,22743932.04
44,5727681,5284385,11012066,6248918.018,6077884.153,12326802.17,6153381.551,5918917.939,12072299.49,7485718.329,7060090.479,14545808.81,7480420.597,7016818.03,14497238.63,7807510.408,7659360.493,15466870.9,8970561.263,9037024.561,18007585.82,9013281.713,8795356.128,17808637.84,9931947.205,9832708.744,19765668.59,9869877.049,9489754.098,19359631.15,8939273,8424754,17364027,10431500.12,9801105.797,20232605.92,9434246.106,8888166.362,18322412.47,7364107.742,6884579.65,14248687.39,7890866.571,7680081.72,15570948.29,5989068.829,6238874.545,12227943.37,10768261.02,11348772.21,22117033.23,14624833.39,14631536.39,29256369.78,12635917.54,12768426.49,25404344.04,12844215.35,12954180.99,25798396.33,12253040,11759118,24012158,11221701.58,10805513.72,22027215.29,13935552.99,13397150.39,27332703.38,12794805.63,12504959.62,25298542.26,14055476.72,13499223.62,27554700.35,12966392.87,12445352.22,25411745.09,12590941.18,12246427.87,24837369.06,12359223.3,11870145.63,24229368.93
45,5481782,4983328,10465110,5862546.335,5590540.671,11453087.01,6193961.791,5980110.365,12174072.16,6236413.256,6147242.842,12383656.1,7261497.163,6706139.92,13967637.08,7866691.202,7506559.245,15373250.45,7976587.76,7608559.647,15584155.42,9163921.519,9161912.988,18325834.51,9052977.979,9117786.769,18171777.39,10039959.02,9474385.246,19514344.26,9650322,8961850,18612172,9456967.324,9223332.031,18680299.35,10607496.38,10132242.77,20739739.16,9417312.967,9082158.924,18499471.89,7370165.378,7011205.037,14380326.93,7780503.935,7806970.34,15587474.27,6249358.068,6535182.281,12784540.35,11100171.46,11378346.05,22478517.5,14826279.16,14987101.99,29813381.14,12687285.22,12855670.1,25542955.33,12252515,11710059,23962574,12198324.22,11656807.06,23855131.28,10806768.48,10426861.93,21233630.4,13705924.93,13192273.78,26898198.71,12484520.16,12328035.77,24813778.47,13807739.55,13264510.39,27072249.95,12855028.04,12137191.95,24992219.99,12270631.07,12058252.43,24328883.5
46,5250473,4702941,9953414,5263927.808,5151622.439,10415550.25,5704422.382,5576884.483,11281306.86,6262153.169,6050718.168,12312871.34,6287609.824,6134685.366,12422295.19,7578011.642,7141479.061,14719490.7,7655183.154,7481584.988,15135776.15,7770001.183,7714766.587,15484767.77,9248416.989,8891968.639,18140385.63,8744877.049,8757172.131,17502049.18,9524972,8988462,18513434,10078942.36,9801105.797,19880048.16,9636459.846,9074983.117,18711442.96,10332025.69,9999965.379,20330959.83,9727407.852,9192097.808,18919505.66,7193212.863,7044706.925,14237919.79,8158176.354,7867920.759,16026097.11,6127661.076,6415890.166,12543551.24,10964266.18,11299502.5,22264901.23,14674684.99,14928980.53,29602520.05,11867147,11488631,23355778,12407600.5,11803418.69,24211019.19,12239282.34,11732336.98,23971619.32,10915087,10457692.88,21372779.88,13576243.28,13148356.28,26724599.56,12719918.78,12275629.6,24995548.37,13622080.33,13123916.48,26745996.81,12873786.41,12084951.46,24958737.86
