Age,1990_M,1990_F,1990_Total,1991_M,1991_F,1991_Total,1992_M,1992_F,1992_Total,1993_M,1993_F,1993_Total,1994_M,1994_F,1994_Total,1995_M,1995_F,1995_Total,1996_M,1996_F,1996_Total,1997_M,1997_F,1997_Total,1998_M,1998_F,1998_Total,1999_M,1999_F,1999_Total,2000_M,2000_F,2000_Total,2001_M,2001_F,2001_Total,2002_M,2002_F,2002_Total,2003_M,2003_F,2003_Total,2004_M,2004_F,2004_Total,2005_M,2005_F,2005_Total,2006_M,2006_F,2006_Total,2007_M,2007_F,2007_Total,2008_M,2008_F,2008_Total,2009_M,2009_F,2009_Total,2010_M,2010_F,2010_Total,2011_M,2011_F,2011_Total,2012_M,2012_F,2012_Total,2013_M,2013_F,2013_Total,2014_M,2014_F,2014_Total,2015_M,2015_F,2015_Total,2016_M,2016_F,2016_Total,2017_M,2017_F,2017_Total
10,9956298,9267764,19224062,10846225.88,9888024.109,20734249.99,11972459.22,11082914.58,23055373.79,11051615.59,10078095.3,21129710.89,10831880.83,9798433.436,20630314.26,11501856.65,10667783.51,22169739.13,12395901.09,11486246.7,23883139.77,14141060.7,13150855.05,27292920.01,13238208.18,12206330.71,25444538.89,13306352.46,12338114.75,25644467.21,13811030,12399014,26210044,12071156.82,10638825.14,22709981.96,11039638.44,9442457.832,20482096.27,10739366.76,9323469.835,20062836.59,9858887.512,8508612.275,18368543.28,10635006.3,9119224.221,19754230.52,9683679.999,8233509.868,17916082.02,9313821.402,7772130.922,17085952.32,9274493.929,7710435.3,16984929.23,8431844.215,6756013.746,15186712.49,7830808,6623549,14454357,7650998.936,6713393.905,14364392.84,7313806.027,6333792.316,13647598.34,7336650.635,6267767.046,13604417.68,8065058.707,6948884.901,15015166.14,8187040.251,6895046.277,15082086.53,8402763.685,7123142.815,15525906.5,8581310.68,7412621.359,15993932.04
11,9974473,9335618,19310091,9288375.257,8733030.358,18021405.62,10719624.81,9996910.046,20716534.85,11921256.94,10932108.85,22853365.79,10640322.82,10014137.41,20654460.23,10439274.39,9673684.719,20112959.11,10849389.42,10037941.99,20887331.41,12299238.01,11174460.79,23472694.54,13684781.25,13159222.46,26844003.72,12818647.54,11748975.41,24567622.95,13110848,12026830,25137678,14343312.67,12853098.37,27196411.04,11705814.67,10094263.54,21800078.21,10437212.5,9226532.973,19663745.47,10391067.09,9059574.659,19450641.75,10039280.03,8770672.503,18809952.54,10479113.27,8774138.61,19254359.73,9672432.014,8275973.246,17948405.26,8933594.836,7618698.335,16552293.17,8848797.251,7520045.819,16368843.07,7522558,6413156,13935714,8035263.293,6721670.368,14756933.66,7811072.243,6748785.776,14559858.02,7429597.034,6143023.194,13572620.23,7255741.007,6060102.472,13314620.95,7959575.609,6727724.169,14687299.78,8226305.648,6830246.481,15056552.13,8455097.087,7026699.029,15481796.12
12,9727202,9137476,18864678,10568038.27,9788082.634,20356120.9,9851336.484,9171134.358,19022470.84,11257534.9,10513835.26,21771370.16,12027911.06,11327678.02,23355589.08,10904308.76,10061526.75,20965835.51,10515088.95,9831608.17,20346697.12,11057966.01,10397159.4,21455125.41,12629613.13,11562293.35,24192919.11,14260245.9,13214139.34,27474385.25,12779621,11796570,24576191,13869727.62,12243752.26,26113479.88,14321249.23,12834926.92,27157202.62,11324081.66,10169089.26,21493170.92,10936812.02,9695059.682,20631871.71,11135159.45,9785140.636,20920222.69,10271946.11,8718746.321,18989584.59,10352786.73,8835673.92,19188460.65,9711660.208,8294833.745,18006493.95,8979381.443,7557846.506,16537227.95,8288987,7110572,15399559,7671098.917,6391794.197,14062893.11,8060310.298,6631426.11,14691736.41,7787929.863,6657897.326,14445827.19,7549149.237,6326614.947,13874541.65,7272769.934,6118772.907,13391542.84,8079857.481,6826645.297,14906502.78,8019417.476,6714805.825,14734223.3
13,9987990,9379302,19367292,10025057.27,9540804.757,19565862.02,10455531.18,9840386.261,20295917.44,10112108.76,9456660.254,19568769.01,10606518.47,9864432.412,20470950.88,12414507.63,11496611.53,23911119.15,10787886.07,9966518.745,20754404.82,10309788.31,9517422.93,19827211.24,11150149.95,10356242.26,21506392.2,12293032.79,11523565.57,23816598.36,13619530,12663114,26282644,12977282.89,12259538.43,25236821.33,14037944.7,12788735.96,26826680.67,14303343.28,12987476.95,27290820.23,11558731.69,10446372.02,22005103.71,11473186.51,10121697.35,21594961.24,11121663.83,9595052.337,20716716.16,10237718.52,8796573.074,19034291.6,10213382.13,9033259.687,19247774.37,9395189.003,7947308.133,17342497.14,8161000,7064032,15225032,8336763.019,7097658.262,15434421.28,7746947.889,6336212.103,14083159.99,7872315.409,6766742.451,14639057.86,7805881.437,6607797.834,14413679.27,7517232.789,6300822.474,13818055.26,7168757.818,6143620.649,13311178.07,7830097.087,6594660.194,14425970.87
14,10537630,9922939,20460569,9421287.116,9110129.121,18531416.24,10262291.94,9860998.446,20123290.38,10660920.48,10023857.63,20684778.11,9761409.619,9309075.17,19070484.79,10461739.34,9729599.684,20191339.03,12249086.64,11381095.81,23631174.43,10604038.06,9568640.464,20172678.53,10523327.42,9699040.613,20222368.03,11135245.9,10265368.85,21400614.75,12023710,11166366,23190076,14110729.79,13025693.81,27136423.6,13586299.8,12405864.26,25992164.06,14266218.53,12969945.82,27236164.34,14563981.05,13264836.8,27828817.85,12551653.82,11094144.26,23645798.07,11683341.64,10187749.83,21871091.47,11077828.12,9816546.559,20895491.84,10068415.07,8926799.505,18994082.02,9877434.135,8717067.583,18594501.72,8463924,7429876,15893800,8162957.294,7094111.206,15257068.5,8232115.171,7191606.786,15423721.96,7658294.095,6476896.444,14135190.54,7975813.704,6662811.877,14638625.58,7905272.157,6710725.956,14615998.11,7462854.547,6264860.525,13727715.07,7075242.718,5985436.893,13060679.61
15,11123627,10520164,21643791,10302214.55,9815901.395,20118115.95,9641993.974,9027493.189,18669487.16,10517512.39,9874933.844,20392446.24,10785198.62,10305498.74,21090697.37,9692982.805,9006960.62,18699943.43,10361330.58,9615354.453,19976685.03,11906570.25,11020808.19,22926374.18,10582060.39,9705116.437,20287176.83,10343237.7,9323770.492,19667008.2,10598460,9830866,20429326,12236385.39,11169240.4,23405625.78,14139564.8,13125416.71,27266007.98,13246318.99,11996452.23,25242771.22,13845016.88,12878745.73,26723762.61,14110308.38,12675395.87,26785704.25,11778616.38,10307397.18,22086013.55,11330307.86,9510442.797,20841867.83,10549751,9021934.136,19572817.69,9373424.971,8281786.942,17656357.39,9524898,8499586,18024484,9063909.417,8326121.852,17390031.27,8538218.219,7754207.25,16292425.47,8718616.833,7434488.95,16153105.78,8016157.335,6401189.539,14417346.87,7599823.345,6043513.641,13643336.99,8247912.754,6867458.72,15115371.47,7782766.99,6189320.388,13970873.79
16,12043876,11443691,23487567,10740102.46,10257910.6,20998013.06,10297075,9824282.991,20121357.99,9682803.777,9076077.252,18758881.03,9998040.097,9346098.986,19344139.08,10358618.29,9638156.45,19996873.71,9135231.524,8597573.202,17732804.73,9783553.254,8846573.662,18630126.92,11730391.15,10557757.09,22288148.24,9951844.262,9015368.852,18966188.52,10468201,9845225,20313426,10599885.92,9674816.449,20275754.78,12249841.48,11288043.13,23537884.61,13914564.59,12708010.04,26622574.63,12827614.75,11768473.05,24596087.8,12753556.89,11638717.62,24392197.12,14462926.71,12706991.14,27169917.86,11168318.65,9787500.217,20955818.86,10922361.64,9051380.569,19973742.21,9860252.005,8626575.029,18486827.03,9795181,8995340,18790521,9720114.704,8943309.527,18663424.23,9524281.397,8569675.449,18093956.85,9289747.996,7697429.421,16987177.42,8892714.421,7321757.859,16214472.28,7837733.454,6628524.672,14466193.25,8063051.953,7167557.423,15230609.38,8330097.087,6756067.961,15086165.05
17,12581345,11955254,24536599,11223324.65,10812225.17,22035549.82,10515435.34,9871948.67,20387384.01,9830808.278,9409776.841,19240585.12,9350928.179,8954934.319,18305862.5,9065250.734,8580324.493,17645575.23,9564762.988,8938817.598,18504572.58,9018303.04,7997969.422,17015268.2,9256518.087,8414003.806,17670521.89,10616803.28,9524590.164,20141393.44,10275677,9789371,20065048,9355935.846,8591885.292,17946768.73,10268762.71,9285408.582,19554171.29,11609736.02,10413493.9,22023229.93,12883963.18,12369522.92,25253486.1,11172692.21,10386051.85,21558744.06,12801158.04,11335478.06,24136636.1,13683061.6,11817392.68,25500454.28,10458014.04,9331121.686,19789135.72,9864833.906,8579610.538,18444444.44,10760828,10014541,20775369,9689373.555,8658362.727,18347736.28,10241748.22,8961680.933,19203429.16,9380248.437,8651352.991,18032824.41,8519841.462,7456236.631,15974855.56,8622505.931,7431592.936,16054163.75,7560086.527,6363292.899,13923379.43,7775485.437,6882281.553,14658980.58
18,12567848,11928154,24496002,11592180.81,11241870.49,22834051.3,11033316.51,10568254.07,21601570.57,10252759,9828050.431,20080809.43,10307108.48,9399220.113,19706328.59,8434747.656,8054327.968,16489174.59,8788035.191,8138282.053,16925325.25,9208109.195,8600528.645,17809642.11,8507166.443,7754776.886,16261943.33,8573770.492,7928278.689,16502049.18,11783695,11316732,23100427,9341202.089,8243537.174,17583686.85,9377790.494,8618205.887,17995996.38,9683373.714,8466506.73,18149880.44,10936812.02,10046715.6,20983527.62,11094376.42,10519776.84,21614153.26,11444046.95,10453632.82,21896571.92,11989436.4,11040961.61,23031515.18,12832982.14,11368588.36,24201570.49,9738831.615,8760595.647,18499427.26,10744556,10010718,20755274,11157854.58,9426891.441,20584746.02,9233906.964,8224855.81,17458762.77,8859259.41,8410426.141,17269685.55,8400033.102,7448901.425,15848934.53,8102114.063,7067428.922,15169542.98,8177089.461,6718609.764,14895699.22,7234223.301,6497572.816,13731796.12
19,13333893,12660569,25994462,11670485.47,11376842.99,23047328.47,11254253.37,10565677.54,21819930.91,10317108.78,9981570.627,20298679.41,9719556.61,9445902.316,19165458.93,8945602.606,8551327.883,17496930.49,7973611.792,7692878.756,15666490.55,8200831.027,7550067.066,15750898.09,8578051.058,8089959.851,16668010.91,7623975.41,7058401.639,14683401.64,9752137,9370801,19122938,9564313.27,9229646.498,18793959.77,8132687.619,7484987.772,15617675.39,8262320.575,7688949.352,15950238.68,8549308.36,7903388.444,16452696.8,8838541.033,8517693.914,17356234.95,10978751.72,10081396.64,21060148.36,10407527.91,9769625.544,20177153.45,11228151.52,10298323.76,21526475.29,11758304.7,10820160.37,22578465.06,11079367,10464099,21543466,10105561.41,9955402.726,20060964.14,9536380.331,8841901.48,18378281.81,7994613.303,7599591.106,15594204.41,8451379.542,8214207.89,16664364.9,8468029.801,7817880.579,16285975.26,7803766.674,6929879.251,14734846.32,7753640.777,6705097.087,14458737.86
