1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
-200513.5762,-200139.2954,-239467.1556,-266833.6376,-219310.5751,-205951.6581,-207954.335,-151295.0889,-123356.445,-233266.7008,-364084.1932,-553583.0414,-655002.5344,-817084.9302,-848778.9444,-730655.1605,-686752.2722,-664476.6407,-613508.8493,-563413.4021,-449794.54,-402786.6084,-376338.8158,-316628.2681,-333760.6632,-339091.1562,-325346.8472,-314762.3786
-212109.1518,-217275.6522,-222166.8972,-263062.5564,-242543.0197,-190739.4229,-175794.8283,-171947.8063,-123751.7786,-214370.3893,-320740.4182,-477474.766,-687103.401,-757283.1367,-815074.7597,-827678.2612,-693500.8256,-662771.3969,-632202.0115,-534987.6289,-510092.8972,-459096.8255,-397535.1814,-361829.5695,-328715.5087,-316525.4181,-358234.304,-336698.0583
-230178.1566,-226778.5411,-239444.1601,-241989.5653,-222457.5995,-203968.1118,-156048.6816,-139725.9519,-135957.7043,-206731.4549,-318920.7882,-413625.3975,-593154.6922,-798677.239,-750180.6779,-753718.8911,-853135.4207,-666395.0399,-645151.8733,-560150.8591,-531771.7443,-492714.3997,-441492.547,-380512.7741,-369689.968,-335615.6833,-360965.4422,-363576.5777
-240458.6702,-237983.9381,-242609.8697,-248203.548,-210517.4187,-179984.8673,-162840.2387,-127614.5115,-107790.1835,-219541.1885,-315021.2536,-366114.082,-492765.1165,-660696.8979,-770231.3261,-666165.1914,-757890.3735,-810914.4461,-639189.0838,-558866.6667,-587942.9427,-484380.2379,-468563.6714,-403935.2667,-364226.7067,-372456.5989,-329984.0924,-353281.432
-240060.8196,-246607.754,-257058.6898,-259042.4416,-226622.7788,-168189.5808,-148942.8622,-133572.3158,-99197.8543,-179872.3361,-362676.7039,-358707.2118,-453499.1088,-544496.4133,-639997.5925,-667877.3357,-687552.3584,-732402.1826,-781710.727,-560532.646,-587374.2542,-543437.2948,-425993.8117,-386840.9563,-361355.7072,-351933.3972,-353028.0716,-330936.2864
-254745.7276,-248911.1474,-259657.1779,-261852.9644,-220402.7777,-178468.691,-137865.1168,-118131.7357,-101674.8665,-160049.0779,-300230.1266,-383396.7793,-393565.4198,-478507.1605,-501807.2525,-536307.6598,-661288.6584,-641633.4798,-695305.1517,-684127.4914,-609680.0878,-529609.4533,-448430.0762,-349310.1788,-379947.5197,-377834.626,-349215.8578,-348455.5825
-255153.437,-258747.8614,-280805.3448,-284277.8525,-251465.7594,-184171.0079,-155996.3045,-119171.1504,-96862.91508,-176957.4795,-288782.8013,-326224.3286,-462604.27,-470061.2786,-481374.6873,-470987.9226,-576931.7412,-668029.2318,-639152.5023,-666252.921,-793162.7982,-595564.824,-516034.0837,-455026.4347,-433688.171,-517533.8846,-411633.7471,-418737.5
-266125.6542,-271544.4915,-278766.4131,-292697.562,-250262.4854,-200359.3699,-157820.7717,-130777.9474,-96010.47696,-165811.7828,-297119.7054,-317808.4065,-389556.0449,-526552.7815,-471922.2389,-458699.2225,-491774.7377,-583761.7707,-658943.1103,-612282.1306,-751553.1667,-734155.3805,-544758.4066,-468888.1672,-464516.5736,-458899.391,-443809.97,-409407.5243
-240610.3644,-270287.0835,-309358.0529,-311885.0126,-268885.4649,-219593.2072,-183520.4427,-139304.1604,-112904.8123,-170681.0451,-295655.9787,-355873.2788,-402799.9157,-482219.636,-559667.6943,-475825.4474,-496992.6914,-508944.202,-593645.0782,-652994.5017,-692619.6336,-697572.4678,-681324.4061,-495324.0799,-474829.8729,-454746.5848,-431975.0374,-434443.4466
-223667.017,-298428.5423,-292057.7946,-343725.7449,-295227.9101,-232009.2983,-199251.0157,-162080.899,-119205.442,-200052.9713,-281519.1335,-350141.0053,-438961.8912,-480672.7712,-516065.4912,-563943.4851,-502732.4404,-513988.8814,-531127.2425,-586355.3265,-727195.5265,-651937.4692,-644156.9626,-633777.036,-498689.8301,-447125.8316,-464378.8551,-418094.0534
-246903.0326,-240020.2714,-323308.6378,-329044.6177,-311092.6154,-254677.2447,-208984.4169,-174418.2991,-134184.8801,-212650.5123,-321721.2129,-349733.0907,-448325.7218,-533915.858,-504480.6723,-509623.5572,-580897.3859,-517612.5243,-536065.7491,-523776.9759,-641243.1344,-709589.8922,-617262.9666,-615422.5681,-658824.7066,-462012.1142,-498603.4316,-459830.3398
-240302.0172,-267115.7448,-260737.965,-359094.6793,-298023.2083,-264956.3549,-220542.2853,-182206.3771,-142499.2404,-239420.2869,-331845.1695,-405188.0062,-432314.0888,-543784.8555,-543849.9607,-504271.9108,-511046.3798,-588664.3464,-541626.1418,-518813.7457,-564123.2289,-598904.7315,-621632.1339,-543429.2225,-585823.272,-645835.8802,-495730.0466,-478841.2621
-247817.3922,-258992.6665,-281265.2542,-288547.001,-314165.5921,-257312.8881,-235364.9895,-188819.4646,-147237.0668,-246333.2992,-359128.4411,-416545.2073,-485263.7053,-500843.8884,-554702.7719,-534798.773,-499845.1727,-527488.7276,-615923.2304,-504930.5842,-557769.7091,-531919.2959,-558043.0369,-578110.9484,-559984.2763,-612101.6671,-648417.7459,-515079.0049
-264863.2672,-257779.7685,-277011.0923,-310722.8555,-255427.3077,-269033.4762,-224182.49,-202143.5554,-151913.1223,-254966.1885,-370997.8295,-459934.4385,-502232.4148,-596007.0115,-515142.5248,-530936.8834,-534979.3939,-523047.9887,-537346.1027,-582329.2096,-551307.6588,-527018.6838,-492269.3562,-520636.8087,-603495.2497,-579669.4393,-633993.9218,-663715.1699
-156095.0076,-298428.5423,-280291.7793,-306311.4021,-289248.5638,-224414.2845,-238717.1205,-194347.9454,-164248.7668,-272701.0246,-389366.1387,-484087.2762,-565554.6723,-606185.382,-603269.8973,-512041.124,-533657.5123,-548164.8078,-543638.1259,-511004.4674,-631716.7601,-527580.5374,-492476.006,-461108.0644,-533002.4555,-616408.0022,-601846.1484,-652835.0728
-112744.0608,-239230.2186,-320602.8376,-308789.88,-280122.1931,-253954.4869,-193603.0242,-202610.5388,-154995.4891,-284963.5246,-395017.9817,-498214.0027,-582885.5189,-657943.4785,-599323.4206,-572946.5899,-498453.7184,-539389.9078,-556953.8031,-502743.9863,-553774.6547,-600715.1487,-490586.6363,-448150.358,-472878.7082,-544691.9431,-654477.4589,-634760.0728
-141542.5662,-131093.1301,-276804.1331,-362403.2694,-282584.2769,-252604.8679,-227351.3014,-172294.2779,-166169.8411,-281624.2828,-439793.8008,-536343.2825,-635550.5991,-713785.2982,-689678.6428,-602411.7313,-587611.153,-523154.5664,-571110.8554,-530128.5223,-535672.8427,-520401.2969,-547533.4182,-430371.1794,-448154.6637,-475465.4605,-547308.7309,-629787.9854
-140910.5348,-142665.7348,-147799.5485,-298033.9976,-318738.0334,-244046.85,-214580.0314,-188736.6127,-134716.1096,-287990.0615,-392788.6602,-557490.4338,-621996.325,-720344.005,-695916.6223,-664307.1802,-582880.2083,-582269.6824,-529444.4921,-522735.7388,-562220.7614,-500049.7107,-487162.1539,-500803.0255,-447597.1881,-459919.9067,-476441.3825,-549298.665
-186791.5868,-139939.4962,-174995.5239,-165975.0052,-226178.493,-287874.642,-216273.556,-187493.8343,-156508.8757,-235343.9549,-435180.7012,-533659.6339,-694423.7437,-774546.148,-749639.6287,-698595.4988,-654505.3187,-609518.0562,-607253.4076,-504757.0447,-551138.9342,-524833.6976,-463013.6481,-445739.6219,-518591.7103,-454590.0455,-465431.4813,-483374.6359
-179832.7734,-178195.8565,-163306.1601,-192574.1718,-129694.428,-198571.6547,-248354.4972,-185543.0488,-149714.079,-265464.1393,-341264.3374,-567366.2608,-635886.8693,-836327.9285,-770963.3338,-729241.9241,-697327.3249,-664547.6925,-615447.6705,-572472.1649,-514479.2274,-526800.1852,-486719.3329,-431987.4684,-447374.1978,-523924.9015,-462614.995,-470125.4854
-172904.4674,-207383.3008,-204897.2995,-182778.8479,-164904.0772,-118083.0826,-174494.1316,-213343.625,-151579.5595,-262861.9877,-389806.979,-464807.9444,-710228.4412,-775659.8906,-847824.1517,-762989.8174,-726687.0107,-702524.8914,-677416.7833,-602633.3333,-585499.3792,-492090.1179,-483147.2434,-456012.6449,-439179.306,-453828.4217,-539598.9551,-469248.0583
